#group,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
#datatype,string,string,string,string,string,double,dateTime:RFC3339
#default,_result,,,,,,
,result,nodes,_field,_tag,_measurement,_value,_time
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T02:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T02:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T02:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T02:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T03:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T03:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T03:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T03:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T03:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T04:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T04:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T04:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T04:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T04:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T05:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T05:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T05:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T05:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T05:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T06:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T06:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T06:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T06:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T06:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T07:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T07:59:47Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-03T07:59:47Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-03T07:59:47Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-03T07:59:47Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-03T08:59:47Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-03T08:59:47Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-03T08:59:47Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-03T08:59:47Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-03T08:59:47Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-03T09:59:47Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-03T09:59:47Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T09:59:47Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T09:59:47Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T09:59:47Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T10:59:47Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T10:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T10:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T10:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T10:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T11:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T11:59:47Z
,,node05,buda,tempAvg,tempAvg,8,2022-12-03T11:59:47Z
,,node05,buda,tempAvg,tempAvg,8,2022-12-03T11:59:47Z
,,node05,buda,tempAvg,tempAvg,8,2022-12-03T11:59:47Z
,,node05,buda,tempAvg,tempAvg,8,2022-12-03T12:59:47Z
,,node05,buda,tempAvg,tempAvg,8,2022-12-03T12:59:47Z
,,node05,buda,tempAvg,tempAvg,8,2022-12-03T12:59:47Z
,,node05,buda,tempAvg,tempAvg,8,2022-12-03T12:59:47Z
,,node05,buda,tempAvg,tempAvg,8,2022-12-03T12:59:47Z
,,node05,buda,tempAvg,tempAvg,8,2022-12-03T13:59:47Z
,,node05,buda,tempAvg,tempAvg,8,2022-12-03T13:59:47Z
,,node05,buda,tempAvg,tempAvg,7,2022-12-03T13:59:47Z
,,node05,buda,tempAvg,tempAvg,7,2022-12-03T13:59:47Z
,,node05,buda,tempAvg,tempAvg,7,2022-12-03T13:59:47Z
,,node05,buda,tempAvg,tempAvg,7,2022-12-03T14:59:47Z
,,node05,buda,tempAvg,tempAvg,7,2022-12-03T14:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T14:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T14:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T14:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T15:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T15:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T15:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T15:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T15:59:47Z
